There are a total of 783 landmasses
--------------------------------------------------------
For rt = 0.950000:
--------------------------------------------------------
Degree distributions:
With 286 degrees: 0
With 287 degrees: 0
With 288 degrees: 0
With 289 degrees: 0
With 290 degrees: 0
With 291 degrees: 0
With 292 degrees: 0
With 293 degrees: 0
With 294 degrees: 0
With 295 degrees: 0
With 296 degrees: 0
With 297 degrees: 0
With 298 degrees: 0
With 299 degrees: 0
With 300 degrees: 0
With 301 degrees: 0
With 302 degrees: 0
With 303 degrees: 0
With 304 degrees: 0
With 305 degrees: 0
With 306 degrees: 0
With 307 degrees: 0
With 308 degrees: 0
With 309 degrees: 0
With 310 degrees: 0
With 311 degrees: 0
With 312 degrees: 0
With 313 degrees: 0
With 314 degrees: 0
With 315 degrees: 0
With 316 degrees: 0
With 317 degrees: 0
With 318 degrees: 0
With 319 degrees: 0
With 320 degrees: 0
With 321 degrees: 0
With 322 degrees: 0
With 323 degrees: 0
With 324 degrees: 0
With 325 degrees: 0
With 326 degrees: 0
With 327 degrees: 0
With 328 degrees: 0
With 329 degrees: 0
With 330 degrees: 0
With 331 degrees: 0
With 332 degrees: 0
With 333 degrees: 0
With 334 degrees: 0
With 335 degrees: 0
With 336 degrees: 0
With 337 degrees: 0
With 338 degrees: 0
With 339 degrees: 0
With 340 degrees: 0
With 341 degrees: 0
With 342 degrees: 0
With 343 degrees: 0
With 344 degrees: 0
With 345 degrees: 0
With 346 degrees: 0
With 347 degrees: 0
With 348 degrees: 0
With 349 degrees: 0
With 350 degrees: 0
With 351 degrees: 0
With 352 degrees: 0
With 353 degrees: 0
With 354 degrees: 0
With 355 degrees: 0
With 356 degrees: 0
With 357 degrees: 0
With 358 degrees: 0
With 359 degrees: 0
With 360 degrees: 0
With 361 degrees: 0
With 362 degrees: 0
With 363 degrees: 0
With 364 degrees: 0
With 365 degrees: 0
With 366 degrees: 0
With 367 degrees: 0
With 368 degrees: 0
With 369 degrees: 0
With 370 degrees: 0
With 371 degrees: 0
With 372 degrees: 0
With 373 degrees: 0
With 374 degrees: 0
With 375 degrees: 0
With 376 degrees: 0
With 377 degrees: 0
With 378 degrees: 0
With 379 degrees: 0
With 380 degrees: 0
With 381 degrees: 0
With 382 degrees: 0
With 383 degrees: 0
With 384 degrees: 0
With 385 degrees: 0
With 386 degrees: 0
With 387 degrees: 0
With 388 degrees: 0
With 389 degrees: 0
With 390 degrees: 0
With 391 degrees: 0
With 392 degrees: 0
With 393 degrees: 0
With 394 degrees: 0
With 395 degrees: 0
With 396 degrees: 0
With 397 degrees: 0
With 398 degrees: 0
With 399 degrees: 0
With 400 degrees: 0
With 401 degrees: 0
With 402 degrees: 0
With 403 degrees: 0
With 404 degrees: 0
With 405 degrees: 0
With 406 degrees: 0
With 407 degrees: 0
With 408 degrees: 0
With 409 degrees: 0
With 410 degrees: 0
With 411 degrees: 0
With 412 degrees: 0
With 413 degrees: 0
With 414 degrees: 0
With 415 degrees: 0
With 416 degrees: 0
With 417 degrees: 0
With 418 degrees: 0
With 419 degrees: 0
With 420 degrees: 0
With 421 degrees: 0
With 422 degrees: 0
With 423 degrees: 0
With 424 degrees: 0
With 425 degrees: 0
With 426 degrees: 0
With 427 degrees: 0
With 428 degrees: 0
With 429 degrees: 0
With 430 degrees: 0
With 431 degrees: 0
With 432 degrees: 0
With 433 degrees: 0
With 434 degrees: 0
With 435 degrees: 0
With 436 degrees: 0
With 437 degrees: 0
With 438 degrees: 0
With 439 degrees: 0
With 440 degrees: 0
With 441 degrees: 0
With 442 degrees: 0
With 443 degrees: 0
With 444 degrees: 0
With 445 degrees: 0
With 446 degrees: 0
With 447 degrees: 0
With 448 degrees: 0
With 449 degrees: 0
With 450 degrees: 0
With 451 degrees: 0
With 452 degrees: 0
With 453 degrees: 0
With 454 degrees: 0
With 455 degrees: 0
With 456 degrees: 0
With 457 degrees: 0
With 458 degrees: 0
With 459 degrees: 0
With 460 degrees: 0
With 461 degrees: 0
With 462 degrees: 0
With 463 degrees: 0
